Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/15  14:00:00,1036.16523242,99.0722556574,377.618939852,0.0,131.945524568,266.955817592,343.196691212,278.571788125,42.4850247072,22.1398783796
 07/15  15:00:00,964.236386209,94.7147699866,386.841288454,0.0,109.682768182,212.545889182,314.958162425,231.97006378,56.6466996096,26.3413990353
 07/15  16:00:00,989.391272032,94.7147699866,402.889756643,0.0,109.682768182,220.04316451,350.145069351,238.837623182,84.9700494144,26.3373967542
 07/15  17:00:00,941.192481556,94.7147699866,397.072589249,0.0,109.682768182,220.04316451,338.537847209,236.071197201,84.9700494144,17.4966005933
 07/15  18:00:00,891.29820484,94.7147699866,387.036598272,0.0,100.150657288,199.110933808,369.121136941,275.456201394,84.9700494144,8.69488613221
 07/15  19:00:00,886.196849261,94.7147699866,388.650505517,0.0,100.150657288,191.61365848,363.141664967,296.924027479,56.6466996096,9.57093787902
 07/15  20:00:00,805.441199206,94.7147699866,402.397202313,0.0,55.6251445156,124.558693486,435.460973136,362.324336159,56.6466996096,16.4899373673
 07/15  21:00:00,820.584369865,94.7147699866,416.684027237,0.0,55.6251445156,124.558693486,430.671173944,379.493470512,42.4850247072,8.69267872483
 07/15  22:00:00,817.661070518,94.7147699866,424.204415453,0.0,46.0930336215,124.558693486,443.757111625,398.068295543,28.3233498048,17.3654662776
 07/15  23:00:00,820.597657529,94.7147699866,426.319066159,0.0,46.0930336215,124.558693486,427.229887353,404.375421525,14.1616749024,8.69279092583
 07/15  24:00:00,807.739325778,94.7147699866,425.829044688,0.0,46.0930336215,113.312780494,423.24024795,408.882740567,5.66466996096,8.69283742196
 07/16  01:00:00,796.57234351,94.7147699866,425.880218309,0.0,34.9616554283,113.312780494,436.739056132,413.70864723,5.66466996096,17.3657389406
 07/16  02:00:00,794.152930382,94.7147699866,423.236264291,0.0,34.9616554283,113.312780494,431.780153266,417.422571569,5.66466996096,8.69291173651
 07/16  03:00:00,798.896220886,94.7147699866,428.449012116,0.0,34.9616554283,113.312780494,436.102588533,421.744972283,5.66466996096,8.69294628857
 07/16  04:00:00,804.051707029,94.7147699866,422.887492716,0.0,44.4937663224,113.312780494,434.143488363,411.112818023,5.66466996096,17.3660003787
 07/16  05:00:00,795.908859116,94.7147699866,418.147072614,0.0,44.4937663224,113.312780494,432.222949999,409.368220426,14.1616749024,8.6930546701
 07/16  06:00:00,855.03900708,94.7147699866,415.703843868,0.0,54.0258772165,176.889270242,378.501784358,341.485343487,28.3233498048,8.69309106654
 07/16  07:00:00,866.867986635,94.7147699866,420.740707556,0.0,54.0258772165,184.38654557,397.744483511,337.893167549,42.4850247072,17.3662912552
 07/16  08:00:00,944.607447818,94.7147699866,418.786699743,0.0,65.1572554096,220.04316451,386.174528839,320.801669245,56.6466996096,8.72615998508
 07/16  09:00:00,929.020657418,94.7147699866,411.205813488,0.0,65.1572554096,212.545889182,371.493175234,302.778965043,42.4850247072,26.229185484
 07/16  10:00:00,942.756624003,94.7147699866,418.449249593,0.0,65.1572554096,220.04316451,375.930657487,287.569032242,70.808374512,17.5532507331
 07/16  11:00:00,942.134765987,94.7147699866,416.980050734,0.0,65.1572554096,220.04316451,384.161023491,287.02831306,70.808374512,26.3243359188
 07/16  12:00:00,943.816969099,94.7147699866,419.907887088,0.0,65.1572554096,220.04316451,378.220939813,289.856076605,70.808374512,17.5564886961
 07/16  13:00:00,937.942308132,94.7147699866,421.563833884,0.0,65.1572554096,212.545889182,373.211574622,290.239889875,56.6466996096,26.3249851378
 07/16  14:00:00,937.748637738,94.7147699866,421.363811226,0.0,65.1572554096,212.545889182,352.093993668,283.287446019,42.4850247072,26.3215229413
 07/16  15:00:00,934.126809342,94.7147699866,417.464525144,0.0,65.1572554096,212.545889182,342.70697511,268.505752896,56.6466996096,17.5545226039
 07/16  16:00:00,903.080081641,94.7147699866,411.369022989,0.0,65.1572554096,220.04316451,371.806229389,260.514349763,84.9700494144,26.3218302115
 07/16  17:00:00,857.635850378,94.7147699866,412.236454996,0.0,54.0258772165,184.38654557,374.522781104,272.060745837,84.9700494144,17.4919858526
 07/16  18:00:00,811.104451245,94.7147699866,397.095371987,0.0,44.4937663224,163.454314868,391.979088799,298.314804501,84.9700494144,8.69423488405
 07/16  19:00:00,800.062677068,94.7147699866,393.370275086,0.0,44.4937663224,155.95703954,396.740709603,322.72536716,56.6466996096,17.3686428335
 07/16  20:00:00,800.134933988,94.7147699866,408.029348739,0.0,44.4937663224,124.558693486,446.772544524,381.431461381,56.6466996096,8.69438353418
 07/16  21:00:00,815.922486642,94.7147699866,423.564053759,0.0,44.4937663224,124.558693486,447.555343732,396.375898894,42.4850247072,8.6944201305
 07/16  22:00:00,796.619809385,94.7147699866,414.010836667,0.0,34.9616554283,124.558693486,452.891612587,407.199316125,28.3233498048,17.3689466573
 07/16  23:00:00,797.212351643,94.7147699866,414.025773931,0.0,34.9616554283,124.558693486,437.802807277,414.946606423,14.1616749024,8.69452595177
 07/16  24:00:00,797.169142999,94.7147699866,426.488444261,0.0,34.9616554283,113.312780494,438.006324496,423.647086402,5.66466996096,8.69456813306
 07/17  01:00:00,803.296655445,94.7147699866,420.962373682,0.0,46.0930336215,113.312780494,448.210803403,425.176943897,5.66466996096,17.3691895456
 07/17  02:00:00,794.456129645,94.7147699866,412.064190536,0.0,46.0930336215,113.312780494,434.699498495,420.340197485,5.66466996096,8.69463104934
 07/17  03:00:00,790.229000043,94.7147699866,408.448305396,0.0,46.0930336215,113.312780494,436.703751101,422.344419789,5.66466996096,8.694661351
 07/17  04:00:00,898.309778928,94.7147699866,426.08019934,0.0,100.150657288,148.969399434,435.671527791,412.637440149,5.66466996096,17.3694176812
 07/17  05:00:00,903.017100427,94.7147699866,434.087199608,0.0,100.150657288,149.894399434,699.411227568,676.554789049,14.1616749024,8.69476361702
