Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 02/25  11:00:00,289.502179916,35.9809415864,119.315305246,0.0,42.6918050922,68.9656133826,340.691446827,4.63506062382,83.4695,252.586886203
 02/25  12:00:00,282.042458757,36.0748297219,119.867108291,0.0,34.9340096728,67.7198543238,286.142619378,2.67758162238,83.4695,199.995537755
 02/25  13:00:00,281.580240136,36.1370148493,119.993935929,0.0,34.9340096728,67.7198543238,232.364904934,2.40024624357,83.4695,146.49515869
 02/25  14:00:00,272.038355997,36.0966840784,120.128164621,0.0,34.9340096728,57.9733543238,230.705770322,2.6019323028,75.1392,152.964638019
 02/25  15:00:00,271.941792728,36.1259380132,120.103139884,0.0,34.9340096728,57.9733543238,215.878282675,2.93915389722,66.8089,146.130228778
 02/25  16:00:00,272.680535472,36.1523608906,121.051296265,0.0,34.9340096728,57.9733543238,225.949410026,4.68147231221,75.1392,146.128737714
 02/25  17:00:00,301.171312284,35.8778148655,120.772631385,0.0,34.9340096728,62.9068543238,209.01945238,8.59506021511,91.7998,108.624592165
 02/25  18:00:00,325.947449013,35.4069222213,112.941629838,0.0,34.9340096728,72.2186844194,203.132373344,15.0220102438,49.9818,138.128563101
 02/25  19:00:00,401.466090731,35.4892370408,111.105250193,0.0,87.0357390804,86.2600435998,241.103421878,21.273104811,49.9818,169.848517067
 02/25  20:00:00,404.708984221,35.3576337189,119.814817357,0.0,102.000620287,77.6748002752,274.566135316,24.903340779,33.3212,216.341594537
 02/25  21:00:00,415.829934772,35.3265504059,119.644748199,0.0,102.000620287,88.9820225341,274.356413407,24.9155133462,33.3212,216.119700061
 02/25  22:00:00,405.821139285,35.3475728455,119.342199326,0.0,102.000620287,91.6425454185,273.541432099,24.9972794995,24.9909,223.553252599
 02/25  23:00:00,353.597888693,35.3378136335,120.481738594,0.0,87.0357390804,65.871452062,367.884831454,31.9768718125,16.6606,319.247359642
 02/25  24:00:00,262.039972826,35.3158479686,102.723721318,0.0,42.6918050922,48.4199368926,233.355533606,38.3512637415,8.3303,186.673969865
 02/26  01:00:00,177.413515568,30.6428831815,53.6537186517,0.0,34.4311606118,33.1021868926,142.687165015,30.063132455,3.33212,109.29191256
 02/26  02:00:00,205.98020384,32.9787059088,79.7665021333,0.0,34.4311606118,33.1021868926,110.493539138,26.5465199891,3.33212,80.6148991487
 02/26  03:00:00,157.457637057,30.6428831815,51.2462590732,0.0,19.466279405,30.610668775,107.49955005,23.5584633551,3.33212,80.6089666948
 02/26  04:00:00,161.205170264,30.6428831815,55.0026234669,0.0,19.466279405,30.610668775,104.95725978,21.0191431864,3.33212,80.6059965935
 02/26  05:00:00,171.94821669,30.6428831815,59.1468695414,0.0,19.466279405,30.610668775,130.457259694,18.8635414384,3.33212,108.261598255
 02/26  06:00:00,211.950487196,32.9787059088,84.3955998548,0.0,19.466279405,30.610668775,163.190126902,17.0505392209,8.3303,137.809287681
 02/26  07:00:00,288.870531912,34.22447803,96.8709714191,0.0,42.6918050922,54.3732441037,220.842021198,15.5422868102,16.6606,188.639134388
 02/26  08:00:00,355.02717415,35.6226510815,116.670822025,0.0,49.3960418185,88.5934452969,363.337044926,18.0695947428,24.9909,320.276550183
 02/26  09:00:00,389.28559445,35.381464621,119.164761447,0.0,57.6566862989,112.030105488,514.027740089,17.6434442028,33.3212,463.063095886
 02/26  10:00:00,332.045038267,35.8889497336,117.203812087,0.0,50.9524495726,81.1684271793,401.453118667,8.94020590904,66.8089,325.704012758
 02/26  11:00:00,289.762436136,36.0664103197,119.430420873,0.0,42.6918050922,68.9656133826,342.127783727,3.27609471487,83.4695,255.382189012
 02/26  12:00:00,287.72886888,36.0944159381,120.796916734,0.0,38.286128036,68.9656133826,283.6328011,2.51586601224,83.4695,197.647435088
 02/26  13:00:00,287.930962492,36.1397971492,121.70884786,0.0,38.286128036,68.9656133826,235.389389985,2.77017274244,83.4695,149.149717243
 02/26  14:00:00,269.245811685,36.0921188934,122.285838129,0.0,31.5818913096,56.727595265,228.921721243,4.03788845485,75.1392,149.744632788
 02/26  15:00:00,269.188172904,36.1189531737,122.412818695,0.0,31.5818913096,56.727595265,211.838251648,5.88441467989,66.8089,139.144936968
 02/26  16:00:00,262.482756203,36.1453825756,115.879758566,0.0,31.5818913096,56.727595265,231.287152276,10.4155893999,75.1392,145.732362877
 02/26  17:00:00,273.428572345,35.8509506911,98.0793943266,0.0,31.5818913096,61.661095265,217.575882262,15.8340911441,91.7998,109.941991118
 02/26  18:00:00,297.123462535,35.3498937203,89.1905713073,0.0,31.5818913096,70.9729253606,212.31847405,25.6117888567,49.9818,136.724885193
 02/26  19:00:00,371.481485387,35.3856619628,90.7903778874,0.0,80.3315023541,83.7685254822,254.908902795,35.4402202437,49.9818,169.486882551
 02/26  20:00:00,390.568300864,35.3212544029,106.016460228,0.0,102.000620287,77.6748002752,287.346387294,37.9938381887,33.3212,216.031349106
 02/26  21:00:00,425.254405952,35.3145286361,120.158154777,0.0,108.704857014,91.4735406516,284.53989311,35.7474720657,33.3212,215.471221045
 02/26  22:00:00,397.19755282,35.3545152354,120.229452315,0.0,95.2963835608,89.1510273009,276.034013249,34.9821957644,24.9909,216.060917485
 02/26  23:00:00,343.837917214,35.3551522103,120.09232631,0.0,80.3315023541,63.3799339444,371.658143607,35.8223839628,16.6606,319.175159644
 02/26  24:00:00,259.544331844,35.3418540196,100.286240886,0.0,42.6918050922,48.4199368926,233.351387434,37.8413048788,8.3303,187.179782555
 02/27  01:00:00,162.733925121,30.6428831815,50.4416991108,0.0,25.5240853573,30.610668775,141.057130393,29.4683389632,3.33212,108.25667143
 02/27  02:00:00,157.55909139,30.6428831815,52.6319242565,0.0,19.418418834,29.3649097162,116.590340233,32.748743195,3.33212,80.5094770381
 02/27  03:00:00,155.636182086,31.4214907572,57.8295740688,0.0,12.7620426787,28.1191506574,114.042585794,30.200102598,3.33212,80.5103631963
 02/27  04:00:00,154.265447015,32.200098333,55.699775904,0.0,12.7620426787,28.1191506574,109.487889575,25.6425424177,3.33212,80.5132271576
 02/27  05:00:00,167.376720397,32.9787059088,61.4282740285,0.0,12.7620426787,28.1191506574,133.605198417,22.0201013565,3.33212,108.252977061
 02/27  06:00:00,200.973368226,32.200098333,68.2157495013,0.0,25.5240853573,30.610668775,214.882119153,19.1490923908,8.3303,187.402726762
 02/27  07:00:00,322.524056427,33.7573134846,101.573311869,0.0,51.0481707146,78.1489452969,353.643350021,16.9014653699,16.6606,320.081284651
 02/27  08:00:00,393.296630651,35.4728340671,119.010064595,0.0,64.3609230253,109.708623606,465.913831516,19.5758056125,24.9909,421.347125904
 02/27  09:00:00,350.717380124,35.3260451513,118.923676243,0.0,51.0481707146,80.7689615957,381.63603411,15.4466404659,33.3212,332.868193644
 02/27  10:00:00,324.263551467,35.8771566838,119.853744223,0.0,51.0481707146,71.0224615957,324.380880295,8.57756219325,66.8089,248.994418101
 02/27  11:00:00,277.696436572,35.9652755509,121.768182324,0.0,32.1804615127,65.7244621605,293.55043534,7.37947255173,83.4695,202.701462788
 02/27  12:00:00,272.77931841,36.014808817,116.100674419,0.0,32.1804615127,65.7244621605,237.375740115,7.60687762586,83.4695,146.299362489
 02/27  13:00:00,269.727834537,36.0592392109,113.715855573,0.0,32.1804615127,65.7244621605,238.239957917,8.67496579741,83.4695,146.09549212
 02/27  14:00:00,259.78595022,36.0853723432,113.495403928,0.0,32.1804615127,55.9779621605,230.66314738,9.61302902192,75.1392,145.910918358
 02/27  15:00:00,268.382981339,36.1140622004,121.815076709,0.0,32.1804615127,55.9779621605,219.182888159,6.6331598693,66.8089,145.74082829
 02/27  16:00:00,269.095433992,36.14279954,122.193688121,0.0,32.1804615127,55.9779621605,224.261733001,4.86522247099,75.1392,144.25731053
 02/27  17:00:00,298.657940712,35.8900198476,122.668439358,0.0,32.1804615127,60.9114621605,204.840368116,3.12214107998,91.7998,109.918427036
 02/27  18:00:00,338.416315163,35.4027300323,122.50568608,0.0,32.1804615127,77.5397301883,218.958380942,6.61435364531,49.9818,162.362227297
 02/27  19:00:00,401.632418805,35.4455170248,120.55497674,0.0,77.122965704,86.2600435998,355.82067952,12.0045502214,49.9818,293.834329299
 02/27  20:00:00,408.141220798,35.4077852665,119.404217197,0.0,102.647051061,80.1663183927,271.149074374,13.9926035747,33.3212,223.8352708
 02/27  21:00:00,432.725972315,35.394854043,118.53897584,0.0,115.40909374,92.7192997104,263.55635131,14.3066273249,33.3212,215.928523985
 02/27  22:00:00,407.984332056,35.4707102185,117.30027484,0.0,102.647051061,94.1340635361,360.431967646,14.8470979571,24.9909,320.593969689
 02/27  23:00:00,342.806298578,35.5461166173,118.663239427,0.0,77.122965704,65.871452062,277.39622461,17.4996295359,16.6606,243.235995074
 02/27  24:00:00,277.02476044,35.5016185024,121.083904927,0.0,38.286128036,48.4199368926,161.325242159,20.5665272647,8.3303,132.428414895
 02/28  01:00:00,146.874014409,30.6428831815,34.6702265058,0.0,25.5240853573,30.610668775,123.75225908,12.168563757,3.33212,108.251575323
 02/28  02:00:00,161.447777038,31.4214907572,55.5388058859,0.0,19.418418834,29.3649097162,95.6271340576,11.7893556897,3.33212,80.5056583679
 02/28  03:00:00,154.800253751,32.200098333,55.7904545093,0.0,12.7620426787,28.1191506574,98.7411560827,14.890922209,3.33212,80.5181138737
 02/28  04:00:00,172.151142556,32.9787059088,72.1369732698,0.0,12.7620426787,28.1191506574,100.695180547,16.8491949212,3.33212,80.5138656254
 02/28  05:00:00,161.971342873,32.200098333,55.5681376147,0.0,12.7620426787,28.1191506574,124.214600338,12.6349842383,3.33212,108.247496099
 02/28  06:00:00,198.357631604,32.5894021209,63.8728450495,0.0,25.5240853573,30.610668775,205.939370743,10.2199875239,8.3303,187.389083219
