Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/17  09:00:00,243.454485556,29.9687006935,59.203825441,0.061488712048,37.1018798503,116.476155989,82.5026812428,72.5769131834,9.90576805939,0.02
 08/17  10:00:00,245.558718854,30.4228520321,60.9147976471,0.0,37.1018798503,116.476155989,77.879945063,67.9541770036,9.90576805939,0.02
 08/17  11:00:00,247.605269389,30.8052879359,62.5786780724,0.0,37.1018798503,116.476155989,80.5732631648,62.0421051355,9.90576805939,8.62538996988
 08/17  12:00:00,235.920308055,31.1443519261,62.5964629719,0.0,37.1018798503,104.434947198,71.2714377298,61.3456696704,9.90576805939,0.02
 08/17  13:00:00,249.246632019,31.5422681423,63.4830986759,0.0,37.1018798503,116.476155989,72.0506177246,62.1248496653,9.90576805939,0.02
 08/17  14:00:00,250.429593853,31.8844274771,64.3240606142,0.0,37.1018798503,116.476155989,80.3593013534,61.8292923442,9.90576805939,8.62424094979
 08/17  15:00:00,249.96075466,32.0981259903,63.6417854948,0.0,37.1018798503,116.476155989,72.5033807046,62.5776126452,9.90576805939,0.02
 08/17  16:00:00,249.696819505,32.2133118599,63.2631290547,0.0,37.1018798503,116.476155989,74.7950838149,64.8693157555,9.90576805939,0.02
 08/17  17:00:00,249.042269944,32.1541551078,62.6687401479,0.0,37.1018798503,116.476155989,75.4633602242,65.5375921648,9.90576805939,0.02
 08/17  18:00:00,149.409220531,27.4780582691,48.9774813079,0.0,24.7345865669,47.5788473902,70.9206106,57.3610117063,4.9528840297,8.606714864
 08/17  19:00:00,154.665431519,27.3986832388,47.2655853851,0.0,24.7345865669,47.5788473902,67.2632942847,62.290410255,4.9528840297,0.02
